k, xk[0], xk[1], ||grad||
0.000000,-5.000000,5.000000,36.400549
1.000000,0.000000,-12.500000,36.400549
2.000000,0.000000,31.250000,87.500000
3.000000,0.000000,-78.125000,218.750000
4.000000,0.000000,195.312500,546.875000
5.000000,0.000000,-488.281250,1367.187500
6.000000,0.000000,1220.703125,3417.968750
7.000000,0.000000,-3051.757812,8544.921875
8.000000,0.000000,7629.394531,21362.304688
9.000000,0.000000,-19073.486328,53405.761719
10.000000,0.000000,47683.715820,133514.404297
11.000000,0.000000,-119209.289551,333786.010742
12.000000,0.000000,298023.223877,834465.026855
13.000000,0.000000,-745058.059692,2086162.567139
14.000000,0.000000,1862645.149231,5215406.417847
15.000000,0.000000,-4656612.873077,13038516.044617
16.000000,0.000000,11641532.182693,32596290.111542
17.000000,0.000000,-29103830.456734,81490725.278854
18.000000,0.000000,72759576.141834,203726813.197136
19.000000,0.000000,-181898940.354586,509317032.992840
20.000000,0.000000,454747350.886464,1273292582.482100
21.000000,0.000000,-1136868377.216160,3183231456.205249
22.000000,0.000000,2842170943.040401,7958078640.513123
23.000000,0.000000,-7105427357.601002,19895196601.282806
24.000000,0.000000,17763568394.002506,49737991503.207016
25.000000,0.000000,-44408920985.006271,124344978758.017548
26.000000,0.000000,111022302462.515671,310862446895.043884
27.000000,0.000000,-277555756156.289185,777156117237.609741
28.000000,0.000000,693889390390.723022,1942890293094.024414
29.000000,0.000000,-1734723475976.807617,4857225732735.061523
30.000000,0.000000,4336808689942.018555,12143064331837.652344
31.000000,0.000000,-10842021724855.046875,30357660829594.128906
32.000000,0.000000,27105054312137.617188,75894152073985.328125
33.000000,0.000000,-67762635780344.039062,189735380184963.312500
34.000000,0.000000,169406589450860.093750,474338450462408.250000
35.000000,0.000000,-423516473627150.250000,1185846126156020.750000
36.000000,0.000000,1058791184067875.750000,2964615315390052.000000
37.000000,0.000000,-2646977960169689.000000,7411538288475130.000000
38.000000,0.000000,6617444900424223.000000,18528845721187824.000000
39.000000,0.000000,-16543612251060556.000000,46322114302969560.000000
40.000000,0.000000,41359030627651392.000000,115805285757423888.000000
41.000000,0.000000,-103397576569128480.000000,289513214393559744.000000
42.000000,0.000000,258493941422821216.000000,723783035983899392.000000
43.000000,0.000000,-646234853557053056.000000,1809457589959748608.000000
44.000000,0.000000,1615587133892632576.000000,4523643974899371520.000000
45.000000,0.000000,-4038967834731581440.000000,11309109937248428032.000000
46.000000,0.000000,10097419586828953600.000000,28272774843121070080.000000
47.000000,0.000000,-25243548967072382976.000000,70681937107802677248.000000
48.000000,0.000000,63108872417680965632.000000,176704842769506697216.000000
49.000000,0.000000,-157772181044202438656.000000,441762106923766775808.000000
50.000000,0.000000,394430452610506096640.000000,1104405267309417070592.000000
