# i, x1, x2, ||grad||
1,-5.000000,-5.000000,35.355339
2,-4.273256,0.087209,4.316640
3,-0.457849,-0.457849,3.237480
4,-0.391301,0.007986,0.395274
5,-0.041925,-0.041925,0.296455
6,-0.035831,0.000731,0.036195
7,-0.003839,-0.003839,0.027146
8,-0.003281,0.000067,0.003314
9,-0.000352,-0.000352,0.002486
10,-0.000300,0.000006,0.000303
11,-0.000032,-0.000032,0.000228
12,-0.000028,0.000001,0.000028
13,-0.000003,-0.000003,0.000021
14,-0.000003,0.000000,0.000003
